name,artists,energy,ranking,danceability,valence,instrumentalness,loudness,duration_ms,tempo,country
Bent,"41, Kyle Richh, Jenn Carter, TaTa",0.6209218021750388,0.022031399080579384,0.8646112600536193,0.23606696333969063,0.0,-0.12791192599468026,-0.651613275992429,0.10352852298339132,CA
Yale,Ken Carson,0.43966856551009836,0.02147668064557129,0.6863270777479893,0.4299639754185209,8.885281385281385e-06,-1.0528952460003946,-1.7477532805031681,0.7749586285997107,GB
N95,Kendrick Lamar,0.6758156395649922,0.020947176684881663,0.7694369973190349,0.3949989404534859,2.510822510822511e-06,0.5039668784602181,-0.20990318379628253,0.6976612277250069,US
Raindrops (Insane) [with Travis Scott],"Metro Boomin, Travis Scott",0.5401346452615226,0.020441206233555942,0.7882037533512065,0.08984954439499894,0.0,0.36014117431784115,-0.3365409615721655,-0.347702993577587,US
Sprinter,"Dave, Central Cee",0.68720870015536,0.019957234497505416,0.9410187667560324,0.7107438016528925,0.0,0.7841202642541375,0.36081817705352387,0.664074778529087,US
Runnin,"21 Savage, Metro Boomin",0.6302433972035215,0.01949385730341424,0.8083109919571045,0.40241576605212964,0.10930735930735931,0.8287675799950177,-0.2106599490036897,0.8117580195429592,US
Walk It Talk It,"Migos, Drake",0.6374935266701192,0.019049787492410486,0.9276139410187669,0.3812248357702903,2.4999999999999998e-06,0.6341598144374412,1.1694218011680644,0.9202508431969648,US
Tell Em,"Cochise, $NOT",0.7244950802692904,0.018623842979814897,0.611260053619303,0.46386946386946387,0.0,-0.16028975038692148,-0.47769487196285837,1.3682320582228547,DE
Nightcrawler (feat. Swae Lee & Chief Keef),"Travis Scott, Swae Lee, Chief Keef",0.7389953392024857,0.0182149362477233,0.41018766756032177,0.15236278872642506,0.0,1.0915391863783654,1.9504894912585402,0.10360324255891097,US
Lady Of Namek,Tory Lanez,0.6644225789746245,0.017822065073752613,0.6166219839142092,0.593134138588684,0.0,0.6416578369282758,-0.24354483710738223,0.5119457227718184,CA
Babydoll,Dominic Fike,0.6074572760227861,0.017444304329550242,0.7319034852546917,0.8601398601398602,0.0,0.5826961146139837,-1.8952536991105255,1.7456406341707766,US
Like That,"Future, Metro Boomin, Kendrick Lamar",0.6820300362506474,0.017080798707770573,0.8016085790884717,0.2932824751006569,1.3852813852813852e-05,0.7960489363986475,1.0242604750199655,1.5216687065517118,US
Going Bad (feat. Drake),"Meek Mill, Drake",0.49559813568099426,0.016730756257168133,0.9021447721179625,0.5390972663699938,0.0,0.21836038540023708,-0.4752525842480444,-1.3180114012710564,US
My wrist (with Young Thug),"Yeat, Young Thug",0.6333505955463491,0.016393442622950838,0.7587131367292226,0.290103835558381,0.007316017316017317,-0.08053805662076925,-0.3099509840573597,0.5883838485280494,US
SICKO MODE,Travis Scott,0.7379596064215432,0.01606817590424159,0.8284182305630026,0.43526170798898073,0.0,1.1218720955458334,1.8001684023326652,1.2600007530831667,US
